score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yardsToGoal,down,distance,play_type
-10,FALSE,2,1820,20,57,1,10,Pass
-10,FALSE,2,1815,15,57,2,10,Pass
-10,FALSE,3,1221,1221,87,2,6,Pass
-10,FALSE,3,1044,1044,70,1,10,Pass
-10,FALSE,4,900,900,52,3,3,Pass
-17,FALSE,4,510,510,75,3,13,Pass
-17,FALSE,4,320,320,61,2,7,Pass
-17,FALSE,4,98,98,39,1,10,Pass
-17,FALSE,4,89,89,27,1,10,Pass
-17,FALSE,4,86,86,27,2,10,Pass
6,TRUE,2,2476,676,28,1,10,Pass
6,TRUE,2,1807,7,43,1,10,Pass
6,TRUE,3,1710,1710,61,3,6,Pass
-1,TRUE,3,1677,1677,74,1,10,Pass
-1,TRUE,3,1666,1666,59,1,10,Pass
-1,TRUE,3,1611,1611,59,3,10,Pass
-15,FALSE,3,1460,1460,52,2,10,Pass
-15,FALSE,3,1463,1463,52,1,10,Pass
-14,FALSE,3,909,909,72,2,4,Pass
0,TRUE,4,5,5,28,2,5,Pass
3,TRUE,2,1844,44,15,2,15,Pass
6,TRUE,3,1525,1525,26,3,26,Pass
6,TRUE,3,1229,1229,70,3,5,Pass
10,FALSE,2,2199,399,79,2,10,Pass
7,TRUE,2,2061,261,75,3,10,Pass
7,TRUE,2,2070,270,75,1,10,Pass
7,TRUE,2,2066,266,75,2,10,Pass
0,TRUE,2,1867,67,51,1,10,Pass
0,TRUE,3,1650,1650,71,3,2,Pass
0,TRUE,3,1245,1245,30,3,7,Pass
3,TRUE,3,936,936,23,3,12,Pass
3,TRUE,1,3092,1292,35,2,10,Pass
3,TRUE,1,2929,1129,97,2,9,Pass
3,TRUE,1,2780,980,51,3,13,Pass
3,TRUE,1,3221,1421,47,2,4,Pass
3,TRUE,2,2693,893,61,1,10,Pass
3,TRUE,2,2547,747,5,1,5,Pass
3,TRUE,2,2497,697,3,3,3,Pass
0,TRUE,1,3543,1743,34,1,10,Pass
0,TRUE,1,3595,1795,48,1,10,Pass
7,TRUE,1,3368,1568,56,3,10,Pass
0,TRUE,1,3090,1290,33,1,10,Pass
0,TRUE,1,3057,1257,25,3,2,Pass
0,TRUE,1,3113,1313,42,2,7,Pass
3,TRUE,2,2665,865,54,2,5,Pass
0,TRUE,1,3600,1800,75,1,10,Pass
0,TRUE,1,3600,1800,8,3,8,Pass
3,TRUE,1,3305,1505,18,3,9,Pass
3,TRUE,1,3305,1505,32,2,12,Pass
3,TRUE,2,2692,892,65,2,6,Pass
3,TRUE,2,2422,622,60,2,10,Pass
3,TRUE,2,2422,622,70,3,20,Pass
0,TRUE,1,3469,1669,95,3,6,Pass
0,TRUE,1,3312,1512,89,2,10,Pass
7,TRUE,1,2860,1060,80,2,10,Pass
7,TRUE,1,2860,1060,80,1,10,Pass
0,TRUE,1,3495,1695,63,1,10,Pass
7,TRUE,1,3243,1443,67,2,7,Pass
4,TRUE,2,2596,796,57,2,6,Pass
4,TRUE,2,2339,539,60,1,10,Pass
-7,TRUE,1,3292,1492,59,1,10,Pass
-7,TRUE,1,3259,1459,56,3,7,Pass
1,TRUE,2,2456,656,14,3,4,Pass
1,TRUE,2,2462,662,14,2,4,Pass
7,TRUE,1,3231,1431,24,1,10,Pass
10,FALSE,1,3019,1219,85,1,10,Pass
0,TRUE,1,3592,1792,49,3,6,Pass
0,TRUE,1,3592,1792,49,2,6,Pass
0,TRUE,1,3360,1560,71,2,11,Pass
0,TRUE,1,3196,1396,59,1,10,Pass
0,TRUE,2,2607,807,13,2,12,Pass
3,TRUE,2,2355,555,85,2,10,Pass
3,TRUE,2,2366,566,85,1,10,Pass
3,TRUE,2,2350,550,85,3,10,Pass
-4,TRUE,2,2193,393,71,3,6,Pass
-14,FALSE,2,1904,104,44,3,10,Pass
-14,FALSE,2,1911,111,44,2,10,Pass
-14,FALSE,2,1917,117,44,1,10,Pass
-21,FALSE,3,1670,1670,70,3,13,Pass
-21,FALSE,3,1679,1679,70,2,13,Pass
-28,FALSE,3,1383,1383,58,1,10,Pass
-28,FALSE,3,1340,1340,57,3,9,Pass
-35,FALSE,3,1063,1063,23,3,14,Pass
-35,FALSE,3,1071,1071,23,2,14,Pass
-46,FALSE,4,404,404,43,3,9,Pass
-46,FALSE,4,413,413,43,2,9,Pass
-1,TRUE,2,2101,301,6,3,6,Pass
-1,TRUE,2,1890,90,65,3,10,Pass
-1,TRUE,2,1812,12,40,1,10,Pass
-1,TRUE,2,1822,22,53,1,10,Pass
-1,TRUE,3,1738,1738,55,2,10,Pass
-1,TRUE,3,1742,1742,55,1,10,Pass
-8,FALSE,3,1397,1397,69,3,4,Pass
-8,FALSE,3,1402,1402,69,2,4,Pass
-8,FALSE,3,1319,1319,62,2,8,Pass
-15,FALSE,3,955,955,74,3,11,Pass
-15,FALSE,3,968,968,74,2,11,Pass
-15,FALSE,4,613,613,53,1,10,Pass
-7,TRUE,5,-900,-900,5,3,5,Pass
-7,TRUE,5,-900,-900,5,4,5,Pass
3,TRUE,2,2121,321,9,1,9,Pass
3,TRUE,2,2355,555,68,1,10,Pass
3,TRUE,2,2184,384,23,1,10,Pass
13,FALSE,2,1846,46,53,1,10,Pass
13,FALSE,2,1816,16,7,1,7,Pass
17,FALSE,4,688,688,29,1,10,Pass
17,FALSE,4,612,612,8,3,3,Pass
17,FALSE,4,635,635,15,1,10,Pass
20,FALSE,4,428,428,33,1,10,Pass
10,FALSE,2,1931,131,4,1,4,Pass
17,FALSE,3,1722,1722,55,2,13,Pass
17,FALSE,3,1293,1293,55,2,3,Pass
17,FALSE,3,1293,1293,95,2,8,Pass
17,FALSE,3,1052,1052,71,2,8,Pass
17,FALSE,4,580,580,57,1,10,Pass
