home_game,score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yard50,yardsToGoal,down,distance,yards_gained,year,play_type
TRUE,0,TRUE,1,3473,1673,35,35,1,20,10,2016,Pass
TRUE,7,TRUE,1,3476,1676,35,35,2,5,35,2018,Pass
TRUE,7,TRUE,1,2835,1035,35,35,1,20,17,2019,Pass
TRUE,0,TRUE,1,3325,1525,35,35,1,10,-3,2015,Pass
TRUE,7,TRUE,1,2745,945,35,35,2,5,15,2018,Pass
TRUE,3,TRUE,2,2384,584,35,35,2,7,6,2015,Pass
TRUE,17,FALSE,2,2010,210,35,35,1,10,10,2018,Pass
TRUE,-11,FALSE,2,2052,252,35,35,1,10,35,2016,Pass
TRUE,13,FALSE,2,1824,24,35,35,1,10,15,2015,Pass
TRUE,1,TRUE,2,2230,430,35,35,2,7,30,2017,Pass
TRUE,7,TRUE,2,2418,618,35,35,1,10,19,2017,Pass
TRUE,8,FALSE,3,1745,1745,35,35,2,1,18,2017,Pass
TRUE,35,FALSE,4,807,807,35,35,1,10,35,2018,Pass
TRUE,0,TRUE,1,3186,1386,36,36,2,7,10,2018,Pass
TRUE,35,FALSE,2,2480,680,36,36,3,6,0,2018,Pass
TRUE,13,FALSE,2,2106,306,36,36,2,9,36,2015,Pass
TRUE,-1,TRUE,2,1834,34,36,36,1,10,17,2018,Pass
TRUE,-8,FALSE,2,2220,420,36,36,2,5,-3,2018,Pass
TRUE,14,FALSE,2,1900,100,36,36,2,14,11,2018,Pass
TRUE,25,FALSE,2,1830,30,36,36,1,10,11,2017,Pass
TRUE,25,FALSE,3,1603,1603,36,36,1,10,0,2016,Pass
TRUE,25,FALSE,3,1594,1594,36,36,2,10,35,2016,Pass
TRUE,18,FALSE,4,663,663,36,36,2,2,0,2016,Pass
TRUE,28,FALSE,4,700,700,36,36,2,5,6,2017,Pass
TRUE,14,FALSE,4,395,395,36,36,3,2,0,2015,Pass
TRUE,49,FALSE,4,175,175,36,36,2,2,5,2017,Pass
TRUE,0,TRUE,1,2870,1070,37,37,2,8,4,2018,Pass
TRUE,-7,TRUE,1,3320,1520,37,37,1,10,39,2018,Pass
TRUE,10,FALSE,2,2310,510,37,37,1,10,22,2018,Pass
TRUE,35,FALSE,3,1721,1721,37,37,2,2,0,2016,Pass
TRUE,38,FALSE,4,494,494,37,37,3,14,19,2015,Pass
TRUE,28,FALSE,4,780,780,37,37,2,7,18,2016,Pass
TRUE,49,FALSE,4,719,719,37,37,3,6,37,2019,Pass
TRUE,0,TRUE,1,3525,1725,38,38,1,10,9,2018,Pass
TRUE,0,TRUE,1,3417,1617,38,38,2,10,0,2019,Pass
TRUE,0,TRUE,1,3423,1623,38,38,1,10,0,2019,Pass
TRUE,6,TRUE,2,1805,5,38,38,1,10,0,2018,Pass
TRUE,21,FALSE,2,1827,27,38,38,1,10,0,2019,Pass
TRUE,1,TRUE,2,2265,465,38,38,1,10,3,2017,Pass
TRUE,14,FALSE,3,1148,1148,38,38,1,10,8,2016,Pass
TRUE,6,TRUE,3,1614,1614,38,38,1,10,0,2018,Pass
TRUE,6,TRUE,3,1585,1585,38,38,2,10,-5,2018,Pass
TRUE,8,FALSE,3,1560,1560,38,38,2,4,18,2017,Pass
TRUE,0,TRUE,1,3204,1404,39,39,1,10,3,2018,Pass
TRUE,7,TRUE,1,3473,1673,39,39,2,1,39,2016,Pass
TRUE,10,FALSE,1,2964,1164,39,39,1,10,18,2017,Pass
TRUE,-7,TRUE,1,2825,1025,39,39,2,7,0,2017,Pass
TRUE,-14,FALSE,2,2580,780,39,39,2,6,36,2016,Pass
TRUE,-8,FALSE,2,2175,375,39,39,3,8,7,2018,Pass
TRUE,18,FALSE,2,2454,654,39,39,1,10,50,2015,Pass
TRUE,41,FALSE,3,1020,1020,39,39,2,1,10,2018,Pass
TRUE,7,TRUE,3,1328,1328,39,39,2,7,10,2015,Pass
TRUE,35,FALSE,3,960,960,39,39,3,1,34,2019,Pass
TRUE,5,TRUE,4,33,33,39,39,3,5,-7,2016,Pass
TRUE,7,TRUE,1,3255,1455,40,40,1,20,1,2019,Pass
TRUE,0,TRUE,1,3380,1580,40,40,1,10,11,2018,Pass
